year,customer_id,gender,age,no_of_days_subscribed,multi_screen,mail_subscribed,weekly_mins_watched,minimum_daily_mins,maximum_daily_mins,weekly_max_night_mins,videos_watched,maximum_days_inactive,customer_support_calls,churn
23,2015,108763,1,32,94,0,0,206.25,13.4,23.38,131,2,4.0,0,0
24,2015,108810,0,36,81,0,1,251.85,9.2,28.54,103,6,3.0,4,1
25,2015,108961,1,50,137,0,0,363.15,14.7,41.16,50,2,4.0,3,0
26,2015,109133,1,28,119,1,1,240.0,8.7,27.2,107,5,3.0,5,1
27,2015,110920,1,37,138,0,1,275.85,15.0,31.26,125,3,5.0,1,0
28,2015,111051,0,44,124,0,0,197.7,11.3,22.41,101,2,4.0,1,0
29,2015,111118,1,37,48,0,1,346.35,7.6,39.25,87,4,3.0,3,0
30,2015,111252,0,63,106,0,0,280.65,11.0,31.81,81,3,3.0,1,0
31,2015,111338,1,45,161,0,0,499.35,5.4,56.59,128,9,2.0,4,1
32,2015,111935,1,33,89,0,0,123.45,7.2,13.99,70,4,2.0,1,0
33,2015,112023,0,34,105,1,1,234.15,14.7,26.54,95,3,4.0,0,1
34,2015,112029,0,32,59,0,0,273.75,11.3,31.03,100,8,4.0,4,0
35,2015,112607,0,32,81,0,0,218.1,5.2,24.72,109,4,2.0,1,0
36,2015,112612,1,35,67,0,0,228.75,4.9,25.93,104,3,2.0,2,0
37,2015,113139,1,52,129,0,0,324.0,4.9,36.72,109,10,2.0,2,0
38,2015,113990,1,48,56,0,0,205.8,14.3,23.32,72,4,4.0,1,0
39,2015,114301,1,30,62,0,0,220.65,12.2,25.01,115,3,4.0,0,0
40,2015,114359,1,55,95,0,1,391.2,10.1,44.34,97,5,3.0,1,0
41,2015,114545,0,44,76,0,0,336.6,6.7,38.15,74,2,2.0,2,0
42,2015,114687,0,31,37,0,0,286.65,12.9,32.49,117,1,4.0,0,0
43,2015,114709,0,41,80,0,0,483.45,6.7,54.79,123,8,2.0,0,1
44,2015,114846,0,43,190,0,0,254.1,8.9,28.8,93,5,3.0,1,0
45,2015,114864,0,45,168,0,1,146.1,11.4,16.56,124,2,4.0,2,0
46,2015,115639,0,39,166,1,1,192.3,8.8,21.79,130,7,3.0,2,0
47,2015,115913,0,38,42,0,0,361.8,10.6,41.0,91,4,3.0,0,0
48,2015,116388,1,43,96,0,0,390.6,11.5,44.27,87,4,4.0,5,0
49,2015,116710,0,26,76,1,0,409.95,12.0,46.46,84,7,4.0,1,1
50,2015,116745,1,29,94,0,0,285.9,7.5,32.4,97,5,3.0,1,0
51,2015,117055,1,45,76,0,1,284.55,10.0,32.25,108,5,3.0,1,0
52,2015,117454,0,26,77,0,0,244.5,6.7,27.71,66,3,2.0,2,0
53,2015,117625,1,36,54,0,1,168.0,11.3,19.04,83,4,4.0,2,0
54,2015,117807,1,31,41,0,0,238.95,11.1,27.08,76,5,3.0,1,0
55,2015,117900,1,30,53,0,1,218.55,13.1,24.77,96,5,4.0,3,0
56,2015,117950,1,34,131,0,0,230.1,10.4,26.08,83,3,3.0,0,0
57,2015,119245,1,52,98,0,1,181.5,12.0,20.57,110,1,4.0,1,0
58,2015,119421,0,41,90,0,1,275.7,7.7,31.25,124,3,3.0,1,0
59,2015,119553,1,27,146,1,0,240.15,9.2,27.22,98,3,3.0,2,0
60,2015,120500,1,36,51,1,0,230.4,14.1,26.11,92,4,4.0,0,1
61,2015,120696,0,56,100,0,1,265.65,7.4,30.11,72,2,2.0,0,0
62,2015,120828,1,40,126,0,0,183.6,11.5,20.81,106,3,4.0,1,0
63,2015,121366,1,49,97,0,1,181.65,8.3,20.59,100,5,3.0,3,0
64,2015,121406,1,36,55,0,1,283.95,12.5,32.18,102,4,4.0,2,0
65,2015,122388,0,33,74,0,1,290.55,14.6,32.93,92,3,4.0,2,0
66,2015,122391,0,47,86,0,1,184.5,13.3,20.91,103,4,4.0,1,0
67,2015,122530,1,26,95,0,1,61.35,11.9,6.95,91,7,4.0,0,0
68,2015,122658,0,43,75,1,0,250.05,10.1,28.34,121,3,3.0,3,0
69,2015,122904,0,34,27,0,0,109.05,9.9,12.36,71,3,3.0,1,0
70,2015,124497,1,42,65,0,0,281.85,7.5,31.94,86,6,3.0,1,0
71,2015,124837,1,67,163,0,0,371.55,9.6,42.11,82,7,3.0,0,1
72,2015,124872,0,37,44,0,0,214.8,7.6,24.34,77,4,3.0,1,0
73,2015,125199,0,46,166,0,0,411.45,10.9,46.63,119,5,3.0,0,0
74,2015,126610,1,31,92,0,0,209.7,9.4,23.77,135,7,3.0,2,0
75,2015,126730,0,49,84,0,0,254.25,10.6,28.82,70,7,3.0,0,0
76,2015,126800,1,32,45,0,0,239.7,10.6,27.17,93,3,3.0,2,0
77,2015,127591,0,43,140,0,0,187.95,8.4,21.3,94,4,3.0,1,0
78,2015,128038,1,33,122,0,0,161.85,9.5,18.34,119,3,3.0,2,0
79,2015,128738,0,39,50,0,1,454.05,13.6,51.46,103,14,4.0,3,0
80,2015,128984,0,27,132,0,0,289.95,11.6,32.86,119,4,4.0,5,1
83,2015,129762,0,46,119,0,1,325.65,8.0,36.91,93,5,3.0,2,0
84,2015,130327,0,36,134,0,0,363.6,11.8,41.21,115,6,4.0,1,0
85,2015,130732,0,52,89,0,0,211.65,10.8,23.99,73,2,3.0,2,0
86,2015,130772,1,41,109,0,0,397.05,9.5,45.0,86,9,3.0,1,1
87,2015,131070,1,64,21,0,1,199.05,12.9,22.56,78,7,4.0,3,0
88,2015,131549,1,39,163,0,0,183.6,12.5,20.81,97,7,4.0,1,0
89,2015,132579,0,35,167,0,0,249.6,9.9,28.29,95,5,3.0,1,0
90,2015,132772,0,52,75,0,1,176.25,4.2,19.98,114,7,2.0,3,0
91,2015,133119,1,43,86,0,0,186.15,6.7,21.1,119,8,2.0,3,0
92,2015,134191,0,41,35,0,1,362.55,9.4,41.09,68,4,3.0,1,0
93,2015,134483,1,31,177,0,0,349.2,12.5,39.58,77,7,4.0,2,0
94,2015,135693,1,37,122,0,0,348.75,11.9,39.53,91,2,4.0,0,0
95,2015,136635,1,31,118,0,0,210.6,7.9,23.87,155,1,3.0,0,0
96,2015,136931,1,34,87,1,1,332.4,11.5,37.67,124,3,4.0,1,0
97,2015,136940,1,44,95,0,1,194.25,11.9,22.02,115,3,4.0,1,0
98,2015,137780,1,35,103,1,0,94.2,9.4,10.68,78,4,3.0,3,0
99,2015,137959,1,46,135,0,0,370.2,12.6,41.96,109,5,4.0,1,0
100,2015,138375,0,34,144,0,0,301.65,13.2,34.19,119,2,4.0,1,0
101,2015,138462,0,32,148,0,1,379.35,12.3,42.99,99,1,4.0,1,0
102,2015,138764,1,28,70,0,0,189.45,9.6,21.47,96,2,3.0,0,0
103,2015,138770,1,48,149,0,0,249.9,8.2,28.32,131,6,3.0,7,0
104,2015,139612,0,24,16,0,0,344.4,10.8,39.03,91,2,3.0,0,1
105,2015,139643,0,33,54,1,0,285.75,9.7,32.39,111,2,3.0,2,1
106,2015,139974,1,46,83,0,0,303.45,6.8,34.39,82,4,2.0,0,0
107,2015,141174,1,39,72,0,0,379.5,9.8,43.01,89,4,3.0,0,0
108,2015,141988,1,43,30,0,0,341.1,12.5,38.66,134,3,4.0,0,0
109,2015,142130,1,36,56,0,0,243.45,14.8,27.59,115,1,4.0,4,1
110,2015,143708,1,24,93,0,0,286.05,8.1,32.42,121,3,3.0,3,0
111,2015,144052,1,48,72,0,0,263.25,11.8,29.84,96,3,4.0,1,0
112,2015,144623,1,34,91,0,1,409.5,9.6,46.41,114,2,3.0,1,0
113,2015,145394,1,37,110,1,0,439.95,14.5,49.86,91,4,4.0,0,1
114,2015,146116,1,48,137,0,0,165.75,10.5,18.79,64,3,3.0,3,0
115,2015,146259,0,34,149,0,0,363.75,10.0,41.23,80,3,3.0,3,1
116,2015,146844,0,38,55,0,1,195.75,11.0,22.19,114,5,3.0,4,1
117,2015,147756,0,40,72,1,1,209.7,5.5,23.77,88,6,2.0,0,0
118,2015,147858,0,37,128,0,0,324.0,12.7,36.72,74,4,4.0,1,0
119,2015,148558,1,38,132,0,0,121.65,10.3,13.79,115,2,3.0,0,0
122,2015,148966,0,32,146,0,0,223.95,7.9,25.38,100,4,3.0,7,1
123,2015,149137,0,39,134,0,1,325.2,8.6,36.86,83,2,3.0,0,0
124,2015,149162,0,40,99,0,0,94.35,8.5,10.69,121,5,3.0,1,0
125,2015,149963,1,39,107,0,0,291.75,12.7,33.07,106,1,4.0,2,0
126,2015,151056,0,37,38,0,1,295.8,3.9,33.52,104,2,2.0,0,0
127,2015,152152,1,28,64,0,0,252.0,10.1,28.56,98,3,3.0,2,0
128,2015,152306,1,26,64,0,1,301.95,12.3,34.22,127,3,3.0,1,0
129,2015,152461,1,44,172,0,1,412.35,8.8,46.73,123,2,3.0,1,0
130,2015,153266,0,36,80,1,0,283.65,13.9,32.15,116,3,4.0,2,1
131,2015,153759,0,40,86,0,1,338.25,9.8,38.34,81,2,3.0,0,0
132,2015,154131,1,46,82,0,0,283.8,10.6,32.16,83,5,3.0,3,1
133,2015,154418,1,39,137,1,0,202.65,12.3,22.97,81,2,4.0,2,1
134,2015,155230,1,31,92,0,0,374.1,9.1,42.4,116,3,3.0,0,0
135,2015,155960,0,36,161,1,0,284.4,1.3,32.23,137,6,1.0,1,0
136,2015,157212,0,50,39,0,1,212.55,12.0,24.09,131,5,4.0,1,0
137,2015,157245,1,34,108,0,0,297.75,9.4,33.75,75,3,3.0,0,1
138,2015,157314,0,38,66,0,1,344.1,8.0,39.0,119,1,3.0,2,0
139,2015,157519,0,32,94,0,0,261.0,7.9,29.58,94,1,3.0,1,0
140,2015,158478,1,36,92,1,0,396.45,9.3,44.93,73,5,3.0,0,0
141,2015,159304,1,30,110,0,1,354.45,9.7,40.17,82,6,3.0,1,0
142,2015,159610,0,45,94,1,1,295.65,9.5,33.51,103,5,3.0,4,0
143,2015,159647,1,57,65,0,1,423.45,12.0,47.99,93,4,4.0,1,0
144,2015,161688,0,33,162,0,1,269.55,9.3,30.55,105,8,3.0,1,1
145,2015,162136,0,33,10,0,0,279.15,11.4,31.64,57,6,4.0,2,0
146,2015,162835,0,37,128,0,0,154.95,6.4,17.56,95,7,2.0,0,0
147,2015,162952,1,33,156,1,0,415.5,8.3,47.09,96,3,3.0,1,0
148,2015,162977,1,30,100,0,1,323.85,11.6,36.7,157,4,4.0,1,0
149,2015,163272,1,35,63,0,0,124.5,13.0,14.11,89,3,4.0,0,0
150,2015,164109,0,40,119,0,1,241.95,6.6,27.42,92,8,2.0,1,0
151,2015,164123,0,33,107,1,0,291.6,11.2,33.05,93,7,4.0,2,0
152,2015,164455,1,46,95,0,0,357.15,11.8,40.48,115,4,4.0,4,0
153,2015,164592,1,41,101,0,0,309.9,14.6,35.12,100,3,3.0,0,0
154,2015,165319,0,66,68,0,0,223.2,12.1,25.3,103,3,3.0,3,0
155,2015,165359,1,36,111,0,0,259.2,7.9,29.38,104,3,3.0,4,1
158,2015,166475,0,66,53,0,0,307.65,10.7,34.87,142,2,3.0,3,0
159,2015,166805,0,22,98,0,1,96.9,0.0,10.98,84,0,0.0,2,0
160,2015,168259,0,31,67,0,0,257.55,11.9,29.19,111,4,4.0,2,0
161,2015,169001,1,30,112,0,0,255.75,11.2,28.99,91,6,4.0,0,0
162,2015,169418,0,24,94,0,0,272.7,9.2,30.91,97,2,3.0,4,0
163,2015,169543,0,31,127,0,0,209.4,8.8,23.73,88,4,3.0,2,0
164,2015,170333,1,39,161,0,0,109.2,11.8,12.38,91,2,4.0,2,0
165,2015,172251,1,43,70,0,0,202.05,7.6,22.9,113,6,3.0,3,0
166,2015,172942,0,33,61,0,1,433.05,8.6,49.08,49,3,3.0,0,0
167,2015,173571,0,40,158,0,0,263.85,11.0,29.9,98,6,3.0,1,0
168,2015,173610,0,48,108,0,0,154.5,7.9,17.51,89,3,3.0,1,0
169,2015,173726,1,44,92,0,1,212.4,10.2,24.07,95,11,3.0,0,0
170,2015,174316,0,44,118,0,1,384.45,11.7,43.57,130,1,4.0,1,0
171,2015,174421,1,28,106,0,1,122.4,9.9,13.87,113,4,3.0,1,0
172,2015,174429,1,26,192,0,0,332.4,12.7,37.67,83,6,4.0,4,0
173,2015,174528,1,49,38,0,0,206.7,14.1,23.43,77,3,4.0,2,0
174,2015,174686,1,27,136,0,0,378.6,10.7,42.91,110,3,3.0,2,0
175,2015,175022,0,29,103,0,0,225.9,10.4,25.6,104,8,3.0,8,1
176,2015,175524,0,39,116,0,1,300.6,8.3,34.07,100,4,3.0,1,0
177,2015,175540,1,34,49,0,1,321.6,8.0,36.45,107,13,3.0,3,0
178,2015,176671,0,26,118,0,0,281.1,12.2,31.86,97,6,4.0,1,0
179,2015,177770,0,36,40,0,1,222.15,6.2,25.18,102,5,2.0,2,0
180,2015,178283,0,37,130,0,0,180.75,14.3,20.49,107,2,4.0,1,0
181,2015,178451,1,41,37,0,0,299.25,8.1,33.92,123,4,3.0,2,0
182,2015,178539,0,28,112,1,0,242.85,10.7,27.52,134,4,3.0,1,0
183,2015,179241,1,35,125,0,0,190.05,14.4,21.54,112,7,4.0,2,0
184,2015,179806,0,43,9,0,1,290.7,13.3,32.95,102,2,4.0,1,0
185,2015,180041,1,40,72,0,1,139.2,5.8,15.78,83,7,2.0,1,0
186,2015,180402,0,29,103,0,0,260.25,9.7,29.5,66,2,3.0,3,0
187,2015,180609,0,42,57,0,0,223.95,11.9,25.38,101,3,4.0,2,0
188,2015,180816,1,43,140,0,0,243.9,8.2,27.64,66,2,3.0,1,0
189,2015,182008,0,47,88,0,1,272.4,11.4,30.87,104,4,4.0,1,0
190,2015,182401,0,50,142,0,1,330.75,5.9,37.49,109,9,2.0,2,0
191,2015,183297,0,38,45,0,1,295.2,7.7,33.46,85,2,3.0,1,0
192,2015,183663,1,32,92,0,0,302.85,13.7,34.32,80,6,4.0,3,0
193,2015,184322,1,31,88,0,0,92.85,8.8,10.52,110,2,3.0,3,0
196,2015,185424,0,37,57,1,1,351.75,11.4,39.87,94,4,4.0,2,0
197,2015,185702,1,28,115,0,1,255.75,13.6,28.99,71,5,4.0,6,0
198,2015,185871,1,36,113,0,0,91.8,13.7,10.4,114,3,4.0,5,1
199,2015,185880,1,45,67,0,1,157.35,9.6,17.83,128,9,3.0,1,0
200,2015,186513,1,51,58,0,1,360.6,11.2,40.87,108,3,4.0,1,0
201,2015,186866,1,37,101,0,0,314.4,7.6,35.63,85,2,3.0,3,0
202,2015,187479,1,36,129,0,1,289.2,16.4,32.78,118,5,3.0,1,0
203,2015,187919,0,49,79,0,1,154.65,12.2,17.53,92,8,3.0,3,0
204,2015,187933,1,21,100,0,0,268.65,10.2,30.45,116,10,3.0,1,0
205,2015,187947,1,38,130,0,0,316.8,6.3,35.9,80,9,2.0,2,0
206,2015,188158,0,35,179,0,0,430.95,10.5,48.84,112,4,3.0,0,1
207,2015,188310,1,34,98,0,1,272.4,12.9,30.87,121,4,4.0,2,0
208,2015,189354,1,32,37,0,1,397.05,10.4,45.0,102,7,3.0,0,0
209,2015,189451,1,45,72,0,1,330.0,14.7,37.4,71,6,4.0,3,0
210,2015,190926,1,34,137,0,0,172.5,7.3,19.55,61,4,2.0,3,0
211,2015,192260,1,25,127,0,1,123.3,5.1,13.97,104,6,2.0,0,0
212,2015,192621,0,28,72,0,0,326.7,10.4,37.03,91,5,3.0,4,0
213,2015,192653,0,37,17,0,1,297.75,8.1,33.75,130,10,3.0,1,0
214,2015,193284,1,35,129,0,0,215.55,11.4,24.43,86,8,4.0,4,0
215,2015,193457,1,36,114,0,1,309.3,11.4,35.05,83,6,4.0,1,0
216,2015,194533,1,36,91,1,0,217.5,16.7,24.65,151,3,5.0,2,1
217,2015,194671,0,30,93,0,1,328.05,9.4,37.18,85,5,3.0,2,0
218,2015,195935,1,32,101,0,1,313.8,9.5,35.56,100,3,3.0,0,0
219,2015,196238,1,47,57,1,1,354.75,12.2,40.21,117,3,4.0,2,0
220,2015,196348,0,31,126,1,1,367.35,9.7,41.63,136,6,3.0,4,0
221,2015,196428,1,41,130,0,0,190.5,6.1,21.59,99,6,2.0,0,0
222,2015,197904,1,43,83,0,1,143.85,13.3,16.3,109,4,4.0,0,0
223,2015,197908,1,62,116,0,0,325.95,11.3,36.94,76,3,4.0,2,0
224,2015,198161,1,42,87,0,0,226.5,9.7,25.67,127,3,3.0,5,1
225,2015,199976,1,29,149,0,0,234.0,8.9,26.52,104,8,3.0,0,0
226,2015,200271,0,35,117,0,0,253.2,15.5,28.7,106,4,5.0,0,0
227,2015,200342,0,34,50,0,1,379.35,8.5,42.99,146,4,3.0,3,0
229,2015,201346,0,53,74,0,0,261.15,8.3,29.6,123,5,3.0,2,1
230,2015,201583,1,42,152,1,1,356.25,14.2,40.38,80,3,4.0,9,1
231,2015,201900,1,52,96,0,1,218.7,9.9,24.79,96,2,3.0,1,0
232,2015,202249,0,45,159,0,1,276.15,16.9,31.3,101,3,5.0,0,0
233,2015,202498,1,29,162,0,1,337.35,12.1,38.23,61,2,4.0,0,0
234,2015,203048,0,34,75,0,0,221.25,16.4,25.08,68,3,5.0,2,0
235,2015,203849,1,49,118,0,0,204.15,11.3,23.14,90,4,4.0,1,0
236,2015,204104,0,40,54,0,0,408.9,9.5,46.34,111,2,3.0,1,1
237,2015,204191,0,35,45,0,0,117.3,18.0,13.29,100,3,3.0,1,0
238,2015,204826,0,22,87,0,0,219.45,5.3,24.87,66,9,2.0,1,0
239,2015,204830,1,41,37,1,1,224.55,9.2,25.45,90,4,3.0,1,0
240,2015,205057,1,45,155,0,0,305.1,8.9,34.58,119,4,3.0,0,1
241,2015,205411,0,26,75,1,0,316.95,9.7,35.92,63,4,3.0,4,1
242,2015,205473,1,30,105,0,0,421.95,8.7,47.82,109,3,3.0,0,1
243,2015,208263,1,30,155,0,0,285.45,8.0,32.35,134,3,3.0,1,0
244,2015,209073,1,38,103,0,0,211.95,6.4,24.02,96,2,2.0,1,0
245,2015,209779,1,39,43,0,0,362.85,5.9,41.12,104,3,2.0,1,0
246,2015,210158,1,37,100,0,0,324.3,10.2,36.75,127,3,3.0,0,0
247,2015,210685,0,39,77,0,0,350.7,7.6,39.75,104,3,3.0,2,0
248,2015,210746,1,35,123,0,1,405.6,15.4,45.97,113,7,5.0,1,0
249,2015,211508,1,31,5,0,0,298.8,13.3,33.86,85,3,4.0,3,0
250,2015,212407,0,31,129,0,0,279.0,11.5,31.62,63,6,4.0,4,0
251,2015,212825,0,45,186,0,1,111.45,14.5,12.63,90,3,4.0,2,0
252,2015,212914,0,35,64,0,1,436.65,7.5,49.49,67,2,3.0,1,0
253,2015,213222,1,30,139,0,0,207.15,8.3,23.48,63,2,3.0,1,0
254,2015,213247,1,56,149,0,1,271.05,12.6,30.72,53,3,4.0,3,0
255,2015,213468,1,42,19,0,0,279.15,14.6,31.64,127,7,4.0,2,0
256,2015,213546,1,39,74,0,0,205.05,9.8,23.24,114,4,3.0,0,0
257,2015,213849,0,44,89,1,1,168.9,11.1,19.14,116,2,3.0,0,1
258,2015,214005,0,29,80,0,0,240.9,10.7,27.3,88,1,3.0,1,0
259,2015,214267,1,29,95,1,1,330.3,4.1,37.43,82,2,2.0,0,1
260,2015,214276,1,50,111,0,0,295.65,9.3,33.51,101,11,3.0,0,0
261,2015,214448,0,35,87,0,0,307.2,9.5,34.82,89,3,3.0,0,0
262,2015,214544,0,35,127,0,1,214.8,11.6,24.34,77,1,4.0,1,0
263,2015,214729,0,34,98,0,1,269.85,12.8,30.58,76,7,4.0,3,0
264,2015,215262,1,24,147,1,1,329.85,8.1,37.38,111,4,3.0,3,0
265,2015,215342,0,50,34,0,0,440.55,11.0,49.93,76,10,3.0,2,1
266,2015,216475,1,37,116,0,0,241.05,8.2,27.32,144,5,3.0,0,0
267,2015,217688,1,66,86,0,0,189.45,9.8,21.47,95,7,3.0,2,0
268,2015,217894,0,61,115,1,0,270.0,12.4,30.6,70,3,4.0,1,0
269,2015,218827,0,33,55,0,0,291.15,7.0,33.0,136,7,2.0,2,0
270,2015,218905,1,38,73,0,0,297.45,14.8,33.71,87,8,4.0,3,0
271,2015,219087,1,38,114,0,0,287.25,0.0,32.56,118,0,0.0,0,0
272,2015,219267,0,46,99,0,0,220.05,8.9,24.94,98,1,3.0,3,0
273,2015,219381,1,29,131,0,1,203.85,9.4,23.1,121,4,3.0,1,0
274,2015,220614,1,37,122,0,1,380.55,9.2,43.13,123,5,3.0,7,0
275,2015,222229,0,30,138,1,1,337.8,11.7,38.28,99,4,4.0,0,0
276,2015,223051,1,39,87,0,0,173.1,13.1,19.62,69,5,4.0,2,0
277,2015,223234,0,19,121,0,1,297.6,5.8,33.73,77,3,2.0,3,1
278,2015,223616,1,37,78,0,0,112.5,9.5,12.75,83,6,3.0,3,0
279,2015,224385,1,49,110,0,0,294.15,12.9,33.34,71,1,4.0,3,0
280,2015,224478,1,76,153,0,0,290.7,8.5,32.95,108,3,3.0,1,0
281,2015,224623,1,39,134,0,0,212.55,8.8,24.09,60,6,3.0,0,0
282,2015,224728,1,37,171,0,1,280.35,5.8,31.77,64,3,3.0,1,0
283,2015,225874,1,42,82,0,0,494.7,10.6,56.07,102,6,3.0,0,1
284,2015,226031,0,31,63,0,0,317.7,10.7,36.01,99,9,3.0,3,0
285,2015,226248,1,42,125,0,1,354.15,9.1,40.14,107,4,3.0,2,0
286,2015,227723,1,30,119,0,0,285.6,10.0,32.37,111,1,3.0,2,0
287,2015,229419,0,30,132,1,1,300.45,12.9,34.05,91,3,4.0,2,0
288,2015,229564,0,36,85,0,0,353.7,12.0,40.09,99,3,4.0,0,0
289,2015,229704,1,30,29,0,0,236.1,9.3,26.76,92,2,3.0,1,0
292,2015,232051,1,56,17,0,0,242.25,8.6,27.46,106,5,3.0,1,0
293,2015,232605,0,35,149,0,1,310.05,10.9,35.14,80,3,3.0,1,0
294,2015,232757,1,36,93,0,1,228.45,11.3,25.89,130,5,4.0,7,0
295,2015,232810,1,39,39,0,0,240.6,9.1,27.27,106,5,3.0,2,0
296,2015,232955,0,40,95,0,0,297.6,10.1,33.73,99,3,3.0,0,0
297,2015,233281,0,40,55,0,0,430.05,6.9,48.74,122,5,2.0,2,0
298,2015,233889,1,29,146,0,0,309.45,6.1,35.07,91,3,2.0,1,0
299,2015,234369,1,24,115,0,0,149.55,14.1,16.95,99,4,4.0,2,0
300,2015,234709,0,38,138,0,1,29.25,7.9,3.32,111,1,3.0,0,0
301,2015,235379,0,40,89,0,0,319.5,9.1,36.21,126,1,3.0,1,1
302,2015,235547,1,33,99,0,0,361.65,11.6,40.99,109,10,4.0,1,0
303,2015,235672,0,51,111,0,0,219.3,8.7,24.85,116,3,3.0,3,0
304,2015,235673,1,39,53,0,1,38.85,6.5,4.4,64,7,2.0,1,0
305,2015,235786,1,25,64,0,0,337.2,9.2,38.22,110,2,3.0,1,0
306,2015,236046,1,54,102,0,0,154.65,11.2,17.53,92,5,4.0,1,0
307,2015,236444,1,25,59,0,0,241.35,5.0,27.35,97,5,2.0,3,0
308,2015,237466,1,39,72,0,1,280.05,16.5,31.74,119,4,5.0,1,0
309,2015,237750,1,29,106,0,0,411.6,6.0,46.65,62,3,2.0,1,0
310,2015,237844,0,49,115,0,1,217.5,14.2,24.65,138,3,4.0,2,0
311,2015,239644,1,41,118,0,0,283.2,8.2,32.1,100,7,3.0,4,0
312,2015,239711,1,66,138,0,0,291.45,9.0,33.03,102,3,3.0,5,0
313,2015,239762,0,43,162,0,0,276.75,11.6,31.37,82,3,4.0,1,0
314,2015,239960,1,46,90,1,0,222.3,9.2,25.19,97,1,3.0,4,1
315,2015,240273,1,43,104,0,0,195.75,13.0,22.19,63,6,4.0,0,0
316,2015,241002,1,30,165,0,0,225.75,10.3,25.59,93,2,3.0,1,0
317,2015,241017,1,41,87,0,1,227.1,0.0,25.74,109,0,0.0,1,0
318,2015,241422,0,44,36,0,0,236.4,11.9,26.79,99,1,4.0,0,0
319,2015,241776,1,47,138,1,0,253.95,9.4,28.78,77,9,3.0,1,0
320,2015,241949,0,64,151,0,0,234.6,7.7,26.59,141,6,3.0,4,0
321,2015,241973,0,41,148,0,0,303.0,10.9,34.34,90,3,3.0,1,0
322,2015,242235,1,29,45,0,1,294.9,11.9,33.42,108,3,4.0,0,0
323,2015,242476,0,35,50,0,1,288.9,7.9,32.74,101,2,3.0,2,0
324,2015,242544,1,36,150,0,0,253.8,12.6,28.76,107,3,4.0,1,0
325,2015,242716,1,37,102,1,0,350.7,12.8,39.75,106,3,4.0,0,0
326,2015,243956,1,29,99,0,0,297.3,8.7,33.69,113,3,3.0,4,0
327,2015,246063,0,41,132,0,0,265.05,9.1,30.04,120,4,3.0,2,0
328,2015,246664,1,49,31,0,1,150.15,5.9,17.02,131,3,2.0,0,0
329,2015,247057,1,38,106,0,0,331.05,8.7,37.52,113,5,3.0,1,0
330,2015,247220,1,36,201,0,1,288.0,15.1,32.64,125,3,5.0,1,0
331,2015,247570,0,32,77,0,0,93.6,5.7,10.61,64,6,2.0,5,1
332,2015,247605,1,43,102,0,0,172.2,12.0,19.52,101,4,4.0,0,0
333,2015,248522,0,22,94,0,0,236.85,8.0,26.84,84,5,3.0,4,1
334,2015,248609,0,23,72,0,1,207.15,8.2,23.48,118,2,3.0,2,0
335,2015,249003,1,36,174,0,1,332.7,12.4,37.71,109,9,4.0,1,0
336,2015,249248,0,24,56,0,1,182.55,12.7,20.69,98,3,4.0,1,0
337,2015,250741,1,38,106,0,0,171.6,0.0,19.45,78,0,0.0,2,0
338,2015,251392,0,39,132,0,1,231.9,9.1,26.28,90,4,3.0,1,0
